2023-12-10 11:14:50,146:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,161:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,161:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,177:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,177:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,192:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,192:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,208:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,208:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,223:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,223:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,239:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,239:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,255:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,255:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,271:INFO:root:mouseCrop: x_start: 0 , y_start: 0 , x_end: 0 , y_end: 0 , Cropping False
2023-12-10 11:14:50,631:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 263 , y_end: 152 , Cropping True
2023-12-10 11:14:50,803:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 265 , y_end: 153 , Cropping True
2023-12-10 11:14:50,803:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 267 , y_end: 154 , Cropping True
2023-12-10 11:14:50,819:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 269 , y_end: 157 , Cropping True
2023-12-10 11:14:50,819:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 274 , y_end: 160 , Cropping True
2023-12-10 11:14:50,834:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 281 , y_end: 165 , Cropping True
2023-12-10 11:14:50,834:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 290 , y_end: 173 , Cropping True
2023-12-10 11:14:50,850:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 299 , y_end: 180 , Cropping True
2023-12-10 11:14:50,850:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 308 , y_end: 188 , Cropping True
2023-12-10 11:14:50,850:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 315 , y_end: 192 , Cropping True
2023-12-10 11:14:50,865:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 322 , y_end: 200 , Cropping True
2023-12-10 11:14:50,865:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 327 , y_end: 205 , Cropping True
2023-12-10 11:14:50,881:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 332 , y_end: 207 , Cropping True
2023-12-10 11:14:50,881:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 335 , y_end: 211 , Cropping True
2023-12-10 11:14:50,897:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 339 , y_end: 214 , Cropping True
2023-12-10 11:14:50,897:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 343 , y_end: 218 , Cropping True
2023-12-10 11:14:50,912:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 348 , y_end: 222 , Cropping True
2023-12-10 11:14:50,912:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 353 , y_end: 227 , Cropping True
2023-12-10 11:14:50,912:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 359 , y_end: 232 , Cropping True
2023-12-10 11:14:50,928:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 368 , y_end: 241 , Cropping True
2023-12-10 11:14:50,928:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 371 , y_end: 245 , Cropping True
2023-12-10 11:14:50,944:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 376 , y_end: 250 , Cropping True
2023-12-10 11:14:50,944:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 380 , y_end: 253 , Cropping True
2023-12-10 11:14:50,959:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 386 , y_end: 259 , Cropping True
2023-12-10 11:14:50,959:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 391 , y_end: 266 , Cropping True
2023-12-10 11:14:50,975:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 393 , y_end: 268 , Cropping True
2023-12-10 11:14:50,975:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 396 , y_end: 269 , Cropping True
2023-12-10 11:14:50,975:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 398 , y_end: 273 , Cropping True
2023-12-10 11:14:50,990:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 402 , y_end: 275 , Cropping True
2023-12-10 11:14:50,990:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 405 , y_end: 279 , Cropping True
2023-12-10 11:14:51,006:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 408 , y_end: 281 , Cropping True
2023-12-10 11:14:51,006:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 411 , y_end: 284 , Cropping True
2023-12-10 11:14:51,022:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 415 , y_end: 289 , Cropping True
2023-12-10 11:14:51,022:INFO:root:mouseCrop: x_start: 263 , y_start: 152 , x_end: 421 , y_end: 294 , Cropping True
